bored,danger,dangerous,depress,destructive,dishonor,guilt,guilty,hunger,hungry,interest,lazy,lose,loss,phlegmatic,sadness,sleep,suicidal,tired,Cluster
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0,0,0.462154,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0,0,0.224265,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0,0,0.462154,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0,0,0.199959,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0,0,0.207131,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0,0,0.18773,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0.200027,0,0,0,0,0.199521,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0.220336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0,0,0.165009,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0,0,0.194799,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0,0,0.218032,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0,0,0.175678,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0,0,0.31046,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0,0,0.296208,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0,0,0.376785,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0.242775,0,0,0,0,0.24216,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0,0,0.311801,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0,0,0.18722,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0,0,0.354171,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0,0,0.516389,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0,0,0.516389,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0,0,0.217662,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0,0,0.516389,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0,0,0.516389,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0,0,0.190337,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0,0,0.516389,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0,0,0.516389,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0,0,0.516389,0,0,0,0,0,0,0,0,0,0,yes
0,0.197523,0,0,0,0,0,0,0.397029,0.304277,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0,0,0.516389,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0,0,0.218497,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0,0,0.178855,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0,0,0.279133,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0,0,0.212194,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0,0,0.434543,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0,0,0.164716,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0,0,0.164716,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0,0,0.255047,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0,0,0.405148,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0,0,0.229944,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0,0,0.242303,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0,0,0.18301,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0,0,0.212194,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0,0,0.193707,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0,0,0.164716,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0,0,0.279133,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0,0,0.212194,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0,0,0.196537,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0,0,0.196537,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0,0,0.219775,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0,0,0.196537,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0,0,0,0.268291,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0,0,0.192263,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0,0,0.18722,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0,0,0.226483,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0,0,0.226483,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0,0,0.226483,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0,0,0.226483,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0,0,0.226483,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0,0,0.212194,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0,0,0.456317,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0,0,0.200182,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0,0,0.212194,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0,0,0.34748,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0,0,0.179967,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0,0,0.279133,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0,0,0.255047,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0,0,0.208605,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0,0,0.18722,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0,0,0.279133,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0,0,0.18722,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0,0,0.279133,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0,0,0.195306,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0,0,0.279133,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0,0,0.279133,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0,0,0.317993,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0,0,0.191684,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0,0,0.282713,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0,0,0.195351,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0,0,0.176417,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0,0,0,0,0.268432,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0.414377,0,0,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0,0.270422,0,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0.165307,0,0,0,0,0,0,0,0,0,0,0.161248,0,yes
0,0,0,0,0,0,0.27381,0,0,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0.214086,0,0,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0.222193,0,0,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0.226979,0,0,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0.171809,0,0,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0.250167,0,0,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0.389126,0,0,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0.1769,0,0,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0.159379,0,0,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0.239379,0,0,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0.179302,0,0,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0.189154,0,0,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0.218632,0,0,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0.202449,0,0,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0.210654,0,0,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0.23363,0,0,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0.380552,0,0,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0.205687,0,0,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0.219411,0,0,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0.192269,0,0,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0.343212,0,0,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0.1769,0,0,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0.187852,0,0,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0,0.333336,0,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0.267664,0,0,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0.240278,0,0,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0.414377,0,0,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0.216959,0,0,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0.170363,0,0,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0.193451,0,0,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0,0.308409,0,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0.191427,0,0,0,0,0,0,0,0,0,0,0,0,0,0.187686,0,yes
0,0,0,0,0,0,0.165907,0,0,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.251923,0,yes
0,0,0,0,0,0,0.226041,0,0,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0.273872,0,0,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0.185249,0,0,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0.172865,0,0,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0.198289,0,0,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0.224829,0,0,0,0,0,0,0,0,0,0,0,0,yes
